,screen_name,username,user_id,tweet_id,tweet_url,timestamp,timestamp_epochs,text,text_html,links,hashtags,has_media,img_urls,video_url,likes,retweets,replies,is_replied,is_reply_to,parent_tweet_id,reply_to_users
0,MarsWxReport,Mars Weather,786939553,972306059737133056,/MarsWxReport/status/972306059737133056,2018-03-10 03:00:03,1520650803,"Sol 1985 (March 07, 2018), Sunny, high -6C/21F, low -77C/-106F, pressure at 7.23 hPa, daylight 05:35-17:24","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Sol 1985 (March 07, 2018), Sunny, high -6C/21F, low -77C/-106F, pressure at 7.23 hPa, daylight 05:35-17:24</p>",[],[],False,[],,20,10,0,False,False,,[]
1,JayBirdOne,Jay Love,323430890,971891910473261057,/JayBirdOne/status/971891910473261057,2018-03-08 23:34:22,1520552062,"Same with Earth, a constant mid-70F only several feet below ground.","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Same with Earth, a constant mid-70F only several feet below ground.</p>",[],[],False,[],,0,0,0,False,True,971581285587177478,"[{'screen_name': 'JayBirdOne', 'user_id': '323430890'}, {'screen_name': 'MarsWxReport', 'user_id': '786939553'}]"
2,JayBirdOne,Jay Love,323430890,971891640540348416,/JayBirdOne/status/971891640540348416,2018-03-08 23:33:18,1520551998,Mars' interior would also be warmer given planet size and interior makeup.,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Mars' interior would also be warmer given planet size and interior makeup.</p>",[],[],False,[],,0,0,1,True,True,971581285587177478,"[{'screen_name': 'JayBirdOne', 'user_id': '323430890'}, {'screen_name': 'MarsWxReport', 'user_id': '786939553'}]"
3,JayBirdOne,Jay Love,323430890,971891402371051520,/JayBirdOne/status/971891402371051520,2018-03-08 23:32:21,1520551941,Of course quite an impact on the human form if not protected properly.,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Of course quite an impact on the human form if not protected properly.</p>",[],[],False,[],,0,0,1,True,True,971581285587177478,"[{'screen_name': 'JayBirdOne', 'user_id': '323430890'}, {'screen_name': 'MarsWxReport', 'user_id': '786939553'}]"
4,JayBirdOne,Jay Love,323430890,971890927269658625,/JayBirdOne/status/971890927269658625,2018-03-08 23:30:28,1520551828,Only for context and not all that extreme when considered in that manner.,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Only for context and not all that extreme when considered in that manner.</p>",[],[],False,[],,0,0,1,True,True,971581285587177478,"[{'screen_name': 'JayBirdOne', 'user_id': '323430890'}, {'screen_name': 'MarsWxReport', 'user_id': '786939553'}]"
5,JayBirdOne,Jay Love,323430890,971890641822089216,/JayBirdOne/status/971890641822089216,2018-03-08 23:29:20,1520551760,-76F was less than recent -80F plus reported at some areas on earth?,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">-76F was less than recent -80F plus reported at some areas on earth?</p>",[],[],False,[],,0,0,1,True,True,971581285587177478,"[{'screen_name': 'JayBirdOne', 'user_id': '323430890'}, {'screen_name': 'MarsWxReport', 'user_id': '786939553'}]"
6,JayBirdOne,Jay Love,323430890,971890205559963649,/JayBirdOne/status/971890205559963649,2018-03-08 23:27:36,1520551656,At least what's reported.,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">At least what's reported.</p>",[],[],False,[],,0,0,0,False,True,971581285587177478,"[{'screen_name': 'JayBirdOne', 'user_id': '323430890'}, {'screen_name': 'MarsWxReport', 'user_id': '786939553'}]"
7,JayBirdOne,Jay Love,323430890,971890111712436224,/JayBirdOne/status/971890111712436224,2018-03-08 23:27:14,1520551634,"Carbon level much higher, however.","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Carbon level much higher, however.</p>",[],[],False,[],,0,0,2,True,True,971581285587177478,"[{'screen_name': 'MarsWxReport', 'user_id': '786939553'}]"
8,m_levaughn,Eera M. Levaughn,897498985971277825,971583472144994304,/m_levaughn/status/971583472144994304,2018-03-08 03:08:45,1520478525,UV exposure?,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">UV exposure?</p>",[],[],False,[],,2,1,0,False,True,971581285587177478,"[{'screen_name': 'MarsWxReport', 'user_id': '786939553'}]"
9,MarsWxReport,Mars Weather,786939553,971581285587177478,/MarsWxReport/status/971581285587177478,2018-03-08 03:00:04,1520478004,"Sol 1983 (March 05, 2018), Sunny, high -8C/17F, low -76C/-104F, pressure at 7.23 hPa, daylight 05:36-17:25","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Sol 1983 (March 05, 2018), Sunny, high -8C/17F, low -76C/-104F, pressure at 7.23 hPa, daylight 05:36-17:25</p>",[],[],False,[],,25,12,2,True,False,,[]
10,MarsWxReport,Mars Weather,786939553,971218894206750722,/MarsWxReport/status/971218894206750722,2018-03-07 03:00:03,1520391603,"Sol 1982 (March 04, 2018), Sunny, high -7C/19F, low -77C/-106F, pressure at 7.24 hPa, daylight 05:36-17:25","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Sol 1982 (March 04, 2018), Sunny, high -7C/19F, low -77C/-106F, pressure at 7.24 hPa, daylight 05:36-17:25</p>",[],[],False,[],,19,9,0,False,False,,[]
11,cncworker77,Brett,2908629944,971086971111133184,/cncworker77/status/971086971111133184,2018-03-06 18:15:50,1520360150,"Boy that's windy, I stand corrected.","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Boy that's windy, I stand corrected.</p>",[],[],False,[],,1,0,0,False,True,970856508140507141,"[{'screen_name': 'BradAnderson_WX', 'user_id': '46437166'}, {'screen_name': 'MarsWxReport', 'user_id': '786939553'}]"
12,BradAnderson_WX,Brad Anderson,46437166,971043334344069126,/BradAnderson_WX/status/971043334344069126,2018-03-06 15:22:26,1520349746,"Actually, it can get quite wind on Mars. So windy that there are planet wide dust storms.","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Actually, it can get quite wind on Mars. So windy that there are planet wide dust storms.</p>",[],[],False,[],,0,0,1,True,True,970856508140507141,"[{'screen_name': 'cncworker77', 'user_id': '2908629944'}, {'screen_name': 'MarsWxReport', 'user_id': '786939553'}]"
13,cncworker77,Brett,2908629944,971040714015563778,/cncworker77/status/971040714015563778,2018-03-06 15:12:01,1520349121,Probably not windy there.,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Probably not windy there.</p>",[],[],False,[],,0,0,1,True,True,970856508140507141,"[{'screen_name': 'MarsWxReport', 'user_id': '786939553'}, {'screen_name': 'BradAnderson_WX', 'user_id': '46437166'}]"
14,MarsWxReport,Mars Weather,786939553,970856508140507141,/MarsWxReport/status/970856508140507141,2018-03-06 03:00:03,1520305203,"Sol 1981 (March 03, 2018), Sunny, high -10C/14F, low -75C/-103F, pressure at 7.25 hPa, daylight 05:36-17:25","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Sol 1981 (March 03, 2018), Sunny, high -10C/14F, low -75C/-103F, pressure at 7.25 hPa, daylight 05:36-17:25</p>",[],[],False,[],,19,12,1,True,False,,[]
15,MarsWxReport,Mars Weather,786939553,969769344749178880,/MarsWxReport/status/969769344749178880,2018-03-03 03:00:03,1520046003,"Sol 1978 (Feb 28, 2018), Sunny, high -14C/6F, low -78C/-108F, pressure at 7.27 hPa, daylight 05:37-17:25","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Sol 1978 (Feb 28, 2018), Sunny, high -14C/6F, low -78C/-108F, pressure at 7.27 hPa, daylight 05:37-17:25</p>",[],[],False,[],,26,12,0,False,False,,[]
16,MarsWxReport,Mars Weather,786939553,969044569848500226,/MarsWxReport/status/969044569848500226,2018-03-01 03:00:04,1519873204,"Sol 1977 (Feb 27, 2018), Sunny, high -10C/14F, low -77C/-106F, pressure at 7.27 hPa, daylight 05:37-17:25","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Sol 1977 (Feb 27, 2018), Sunny, high -10C/14F, low -77C/-106F, pressure at 7.27 hPa, daylight 05:37-17:25</p>",[],[],False,[],,14,4,0,False,False,,[]
17,MarsWxReport,Mars Weather,786939553,968682180825305088,/MarsWxReport/status/968682180825305088,2018-02-28 03:00:03,1519786803,"Sol 1976 (Feb 26, 2018), Sunny, high -10C/14F, low -77C/-106F, pressure at 7.28 hPa, daylight 05:37-17:25","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Sol 1976 (Feb 26, 2018), Sunny, high -10C/14F, low -77C/-106F, pressure at 7.28 hPa, daylight 05:37-17:25</p>",[],[],False,[],,20,5,0,False,False,,[]
18,cncworker77,Brett,2908629944,968502603821801472,/cncworker77/status/968502603821801472,2018-02-27 15:06:29,1519743989,Get out the flip flops!,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Get out the flip flops!</p>",[],[],False,[],,1,0,0,False,True,968319790677942272,"[{'screen_name': 'MarsWxReport', 'user_id': '786939553'}, {'screen_name': 'BradAnderson_WX', 'user_id': '46437166'}]"
19,MarsWxReport,Mars Weather,786939553,968319790677942272,/MarsWxReport/status/968319790677942272,2018-02-27 03:00:03,1519700403,"Sol 1974 (Feb 24, 2018), Sunny, high -13C/8F, low -77C/-106F, pressure at 7.29 hPa, daylight 05:37-17:25","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Sol 1974 (Feb 24, 2018), Sunny, high -13C/8F, low -77C/-106F, pressure at 7.29 hPa, daylight 05:37-17:25</p>",[],[],False,[],,19,8,1,True,False,,[]
